brand,category,condition,countryOfManufacture,dataType,description,listingType,media,name,productCategory,shoe,shortDescription,tickerSymbol,title,traits,urlKey,year,market,_tags
Panini,Trading Cards Basketball,Graded,US,product,"The Trae Young 2018-19 Panini Prizm Rookie is his most iconic base rookie card. As part of a remarkable 2018 NBA rookie class along with Luka Doncic, DeAndre Ayton, and Shai Gilgeous-Alexander, Trae is an exciting part of the NBA's future. Channeling Stephen Curry, Trae's game and playing style, centered on the three point shot, fits in seamlessly within the modern NBA. After a phenomenal second season where he scored and passed the ball at an extremely high level, Trae is an elite offensive player on a fast track to becoming one of the best point guards in recent memory. His Prizm rookie card is a great card to own going forward.",standard,"{'imageUrl': 'https://stockx.imgix.net/images/Trae-Young-2018-Panini-Prizm-Rookie-78-Frame.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607636434', 'smallImageUrl': 'https://stockx.imgix.net/images/Trae-Young-2018-Panini-Prizm-Rookie-78-Frame.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607636434', 'thumbUrl': 'https://stockx.imgix.net/images/Trae-Young-2018-Panini-Prizm-Rookie-78-Frame.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1607636434', 'gallery': [], 'hidden': False}",Rookie #78,collectibles,Panini Rookie #78,Trae-Young-2018-Panini-Prizm-Rookie-78,PN-TY2PPR18,Trae Young 2018 Panini Prizm Rookie #78,"[{'name': 'Year', 'value': '2018', 'filterable': False, 'visible': True, 'highlight': False}, {'name': 'Set Number', 'value': '#78', 'filterable': False, 'visible': True, 'highlight': False}]",trae-young-2018-panini-prizm-rookie-78,0,"{'productId': 0, 'skuUuid': '', 'productUuid': '3b878436-0a94-4245-88be-b5ce161a09b4', 'lowestAsk': 150, 'lowestAskSize': 'PSA 8', 'parentLowestAsk': 0, 'numberOfAsks': 22, 'hasAsks': 1, 'salesThisPeriod': 2, 'salesLastPeriod': 0, 'highestBid': 1100, 'highestBidSize': 'PSA 10', 'numberOfBids': 45, 'hasBids': 1, 'annualHigh': 684, 'annualLow': 20, 'deadstockRangeLow': 372, 'deadstockRangeHigh': 790, 'volatility': 0.359685, 'deadstockSold': 379, 'pricePremium': 0, 'averageDeadstockPrice': 249, 'lastSale': 581, 'lastSaleSize': 'PSA 10', 'salesLast72Hours': 2, 'changeValue': -29, 'changePercentage': -0.047541, 'absChangePercentage': 0.047541, 'totalDollars': 94348, 'lastLowestAskTime': 1605150612, 'lastHighestBidTime': 1607570536, 'lastSaleDate': '2020-12-09T20:48:36+00:00', 'createdAt': '2019-10-01T15:15:19+00:00', 'updatedAt': 1607629740, 'deadstockSoldRank': 29, 'pricePremiumRank': 24, 'averageDeadstockPriceRank': 46, 'featured': 1}","['collectibles', 'panini', 'trading cards', 'basketball', 'atlanta hawks']"
Topps,Trading Cards Football,Graded,US,product,,standard,"{'imageUrl': 'https://stockx.imgix.net/images/Randy-Moss-1998-Topps-Chrome-Rookie-35-Frame.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606320963', 'smallImageUrl': 'https://stockx.imgix.net/images/Randy-Moss-1998-Topps-Chrome-Rookie-35-Frame.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606320963', 'thumbUrl': 'https://stockx.imgix.net/images/Randy-Moss-1998-Topps-Chrome-Rookie-35-Frame.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606320963', 'gallery': [], 'hidden': False}",Rookie #35,collectibles,Topps Rookie #35,Randy-Moss-1998-Topps-Chrome-Rookie-35,TP-RM1TCR98,Randy Moss 1998 Topps Chrome Rookie #35,"[{'name': 'Year', 'value': '1998', 'filterable': False, 'visible': True, 'highlight': False}, {'name': 'Set Number', 'value': '#35', 'filterable': False, 'visible': True, 'highlight': False}]",randy-moss-1998-topps-chrome-rookie-35,0,"{'productId': 0, 'skuUuid': '', 'productUuid': '8e417737-a592-4e15-ba5c-506f5e2d41b6', 'lowestAsk': 175, 'lowestAskSize': 'PSA 9', 'parentLowestAsk': 0, 'numberOfAsks': 4, 'hasAsks': 1, 'salesThisPeriod': 1, 'salesLastPeriod': 0, 'highestBid': 455, 'highestBidSize': '', 'numberOfBids': 5, 'hasBids': 1, 'annualHigh': 1000, 'annualLow': 27, 'deadstockRangeLow': 178, 'deadstockRangeHigh': 842, 'volatility': 0.650126, 'deadstockSold': 7, 'pricePremium': 0, 'averageDeadstockPrice': 449, 'lastSale': 510, 'lastSaleSize': 'PSA 10', 'salesLast72Hours': 1, 'changeValue': -490, 'changePercentage': -0.49, 'absChangePercentage': 0.49, 'totalDollars': 3142, 'lastLowestAskTime': 1606523156, 'lastHighestBidTime': 0, 'lastSaleDate': '2020-12-06T19:50:05+00:00', 'createdAt': '2019-10-01T15:15:30+00:00', 'updatedAt': 1607500881, 'deadstockSoldRank': 29, 'pricePremiumRank': 37, 'averageDeadstockPriceRank': 73, 'featured': 1}","['collectibles', 'topps', 'trading cards', 'football', 'minnesota vikings']"
Topps,Trading Cards Baseball,Graded,US,product,,standard,"{'imageUrl': 'https://stockx.imgix.net/images/Rafael-Devers-2018-Topps-Chrome-Rookie-25-Frame.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606320095', 'smallImageUrl': 'https://stockx.imgix.net/images/Rafael-Devers-2018-Topps-Chrome-Rookie-25-Frame.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606320095', 'thumbUrl': 'https://stockx.imgix.net/images/Rafael-Devers-2018-Topps-Chrome-Rookie-25-Frame.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606320095', 'gallery': [], 'hidden': False}",Rookie #25,collectibles,Topps Rookie #25,Rafael-Devers-2018-Topps-Chrome-Rookie-25,TP-RD2TCR18,Rafael Devers 2018 Topps Chrome Rookie #25,"[{'name': 'Year', 'value': '2018', 'filterable': False, 'visible': True, 'highlight': False}, {'name': 'Set Number', 'value': '#25', 'filterable': False, 'visible': True, 'highlight': False}]",rafael-devers-2018-topps-chrome-rookie-25,0,"{'productId': 0, 'skuUuid': '', 'productUuid': '72ab5707-0c72-49ee-b30e-a0c2bd494f94', 'lowestAsk': 75, 'lowestAskSize': 'PSA 10', 'parentLowestAsk': 0, 'numberOfAsks': 4, 'hasAsks': 1, 'salesThisPeriod': 1, 'salesLastPeriod': 0, 'highestBid': 65, 'highestBidSize': 'BGS 10B', 'numberOfBids': 4, 'hasBids': 1, 'annualHigh': 95, 'annualLow': 45, 'deadstockRangeLow': 57, 'deadstockRangeHigh': 93, 'volatility': 0.244737, 'deadstockSold': 6, 'pricePremium': 0, 'averageDeadstockPrice': 67, 'lastSale': 75, 'lastSaleSize': 'PSA 10', 'salesLast72Hours': 1, 'changeValue': 29, 'changePercentage': 0.630435, 'absChangePercentage': 0.630435, 'totalDollars': 399, 'lastLowestAskTime': 1606175619, 'lastHighestBidTime': 1607207272, 'lastSaleDate': '2020-12-09T22:25:42+00:00', 'createdAt': '2019-10-01T15:15:32+00:00', 'updatedAt': 1607600704, 'deadstockSoldRank': 94, 'pricePremiumRank': 35, 'averageDeadstockPriceRank': 58, 'featured': 1}","['collectibles', 'topps', 'trading cards', 'baseball', 'boston red sox']"
Topps,Trading Cards Baseball,Graded,US,product,"The Pete Alonso 2019 Topps Rookie #475 features the 2019 NL Rookie of the Year who blasted 53 home runs during the campaign. The card is from the 2019 Topps Series 2 release, which has a checklist that also includes rising stars, Fernando Tatis Jr., Eloy Jimenez, and Vladimir Guerrero Jr.",standard,"{'imageUrl': 'https://stockx.imgix.net/images/Pete-Alonso-2019-Topps-Rookie-475-Frame.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606318037', 'smallImageUrl': 'https://stockx.imgix.net/images/Pete-Alonso-2019-Topps-Rookie-475-Frame.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606318037', 'thumbUrl': 'https://stockx.imgix.net/images/Pete-Alonso-2019-Topps-Rookie-475-Frame.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606318037', 'gallery': [], 'hidden': False}",Rookie #475,collectibles,Topps Rookie #475,Pete-Alonso-2019-Topps-Rookie-475,TP-PA2TR19,Pete Alonso 2019 Topps Rookie #475,"[{'name': 'Year', 'value': '2019', 'filterable': False, 'visible': True, 'highlight': False}, {'name': 'Set Number', 'value': '#475', 'filterable': False, 'visible': True, 'highlight': False}]",pete-alonso-2019-topps-rookie-475,0,"{'productId': 0, 'skuUuid': '', 'productUuid': '65f11ed2-4b36-457f-bfda-85515f01d73b', 'lowestAsk': 18, 'lowestAskSize': 'PSA 8', 'parentLowestAsk': 0, 'numberOfAsks': 45, 'hasAsks': 1, 'salesThisPeriod': 0, 'salesLastPeriod': 0, 'highestBid': 50, 'highestBidSize': 'BGS 10B', 'numberOfBids': 6, 'hasBids': 1, 'annualHigh': 80, 'annualLow': 15, 'deadstockRangeLow': 27, 'deadstockRangeHigh': 33, 'volatility': 0.096124, 'deadstockSold': 142, 'pricePremium': 0, 'averageDeadstockPrice': 49, 'lastSale': 30, 'lastSaleSize': 'PSA 9', 'salesLast72Hours': 0, 'changeValue': 2, 'changePercentage': 0.071429, 'absChangePercentage': 0.071429, 'totalDollars': 6930, 'lastLowestAskTime': 1607591967, 'lastHighestBidTime': 1606068413, 'lastSaleDate': '2020-11-29T23:58:54+00:00', 'createdAt': '2019-10-01T15:15:33+00:00', 'updatedAt': 1607626407, 'deadstockSoldRank': 94, 'pricePremiumRank': 87, 'averageDeadstockPriceRank': 47, 'featured': 1}","['collectibles', 'topps', 'trading cards', 'baseball', 'new york mets']"
Topps,Trading Cards Baseball,Graded,US,product,The Mookie Betts 2014 Topps Update Rookie Batting #214 is part of the 330 base card checklist in the set. The card has risen in value since Mookie Betts signed with the Dodgers for the 2020 season joining a stacked line up that includes the 2019 NL MVP Cody Bellinger. The 2014 Topps Update set also includes rookie cards for fellow all stars Jacob deGrom and George Springer.,standard,"{'imageUrl': 'https://stockx.imgix.net/images/Mookie-Betts-2014-Topps-Update-Rookie-Batting-US26-Frame.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606324139', 'smallImageUrl': 'https://stockx.imgix.net/images/Mookie-Betts-2014-Topps-Update-Rookie-Batting-US26-Frame.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606324139', 'thumbUrl': 'https://stockx.imgix.net/images/Mookie-Betts-2014-Topps-Update-Rookie-Batting-US26-Frame.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606324139', 'gallery': [], 'hidden': False}",Rookie Batting #US26,collectibles,Topps Rookie Batting #US26,Mookie-Betts-2014-Topps-Update-Rookie-Batting-US26,TP-MB2TURBU14,Mookie Betts 2014 Topps Update Rookie Batting #US26,"[{'name': 'Year', 'value': '2014', 'filterable': False, 'visible': True, 'highlight': False}, {'name': 'Set Number', 'value': '#US26', 'filterable': False, 'visible': True, 'highlight': False}]",mookie-betts-2014-topps-update-rookie-batting-us26,0,"{'productId': 0, 'skuUuid': '', 'productUuid': '582ee9c9-01e3-4e13-beeb-5f14fd61721b', 'lowestAsk': 55, 'lowestAskSize': 'PSA 7', 'parentLowestAsk': 0, 'numberOfAsks': 5, 'hasAsks': 1, 'salesThisPeriod': 0, 'salesLastPeriod': 0, 'highestBid': 250, 'highestBidSize': 'PSA 10', 'numberOfBids': 5, 'hasBids': 1, 'annualHigh': 771, 'annualLow': 50, 'deadstockRangeLow': 7, 'deadstockRangeHigh': 313, 'volatility': 0.959269, 'deadstockSold': 65, 'pricePremium': 0, 'averageDeadstockPrice': 337, 'lastSale': 160, 'lastSaleSize': 'PSA 9', 'salesLast72Hours': 0, 'changeValue': -325, 'changePercentage': -0.670103, 'absChangePercentage': 0.670103, 'totalDollars': 21896, 'lastLowestAskTime': 1606928700, 'lastHighestBidTime': 1603856925, 'lastSaleDate': '2020-10-28T22:42:24+00:00', 'createdAt': '2019-10-01T15:15:37+00:00', 'updatedAt': 1607479713, 'deadstockSoldRank': 3, 'pricePremiumRank': 44, 'averageDeadstockPriceRank': 6, 'featured': 1}","['collectibles', 'topps', 'trading cards', 'baseball', 'boston red sox']"
Panini,Trading Cards Basketball,Graded,US,product,"The Trae Young 2018 Prizm Silver Rookie is the sharpshooter's most popular unnumbered Prizm parallel. Starting in 2012, silver prizms have a history and longetivity that most other Prizm parallels do not. As part of a remarkable 2018 NBA rookie class along with Luka Doncic, DeAndre Ayton, and Shai Gilgeous-Alexander, Trae is an exciting part of the NBA's future. Channeling Stephen Curry, Trae's game and playing style, centered on the three point shot, fits in seamlessly within the modern NBA. After a phenomenal second season where he scored and passed the ball at an extremely high level, Trae is an elite offensive player on a fast track to becoming one of the best point guards in recent memory. His Prizm rookie card is a great card to own going forward.",standard,"{'imageUrl': 'https://stockx.imgix.net/images/Trae-Young-2018-Panini-Prizm-Rookie-Silver-78-Frame.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606322725', 'smallImageUrl': 'https://stockx.imgix.net/images/Trae-Young-2018-Panini-Prizm-Rookie-Silver-78-Frame.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606322725', 'thumbUrl': 'https://stockx.imgix.net/images/Trae-Young-2018-Panini-Prizm-Rookie-Silver-78-Frame.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606322725', 'gallery': [], 'hidden': False}",Rookie Silver #78,collectibles,Panini Rookie Silver #78,Trae-Young-2018-Panini-Prizm-Rookie-Silver-78,PN-TY2PPRS18,Trae Young 2018 Panini Prizm Rookie Silver #78,"[{'name': 'Year', 'value': '2018', 'filterable': False, 'visible': True, 'highlight': False}, {'name': 'Set Number', 'value': '#78', 'filterable': False, 'visible': True, 'highlight': False}]",trae-young-2018-panini-prizm-rookie-silver-78,0,"{'productId': 0, 'skuUuid': '', 'productUuid': '0389547c-8242-4789-8db4-c12d79fabe4d', 'lowestAsk': 838, 'lowestAskSize': 'PSA 9', 'parentLowestAsk': 0, 'numberOfAsks': 8, 'hasAsks': 1, 'salesThisPeriod': 0, 'salesLastPeriod': 0, 'highestBid': 2500, 'highestBidSize': 'PSA 10', 'numberOfBids': 16, 'hasBids': 1, 'annualHigh': 2498, 'annualLow': 170, 'deadstockRangeLow': 109, 'deadstockRangeHigh': 1391, 'volatility': 0.855157, 'deadstockSold': 44, 'pricePremium': 0, 'averageDeadstockPrice': 838, 'lastSale': 750, 'lastSaleSize': 'PSA 9', 'salesLast72Hours': 0, 'changeValue': -18, 'changePercentage': -0.023438, 'absChangePercentage': 0.023438, 'totalDollars': 36894, 'lastLowestAskTime': 1607442061, 'lastHighestBidTime': 1607363909, 'lastSaleDate': '2020-11-29T18:31:22+00:00', 'createdAt': '2019-10-01T15:15:19+00:00', 'updatedAt': 1607635892, 'deadstockSoldRank': 92, 'pricePremiumRank': 0, 'averageDeadstockPriceRank': 25, 'featured': 1}","['collectibles', 'panini', 'trading cards', 'basketball', 'atlanta hawks']"
Topps,Trading Cards Baseball,Graded,US,product,The Juan Soto 2018 Topps Heritage Rookie #502 is modeled after the design of the 1969 Topps baseball set. This card has continued to rise in value as Juan Soto has continued to establish himself as a star in the 2020 season after helping to lead the Washington Nationals to the 2019 World Series title. The card is included in the Heritage High numbered set which also includes a topps baseball rookie card for fellow National League stand out Ronald Acuna Jr.,standard,"{'imageUrl': 'https://stockx.imgix.net/images/Juan-Soto-2018-Topps-Heritage-Rookie-502-Frame.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606318129', 'smallImageUrl': 'https://stockx.imgix.net/images/Juan-Soto-2018-Topps-Heritage-Rookie-502-Frame.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606318129', 'thumbUrl': 'https://stockx.imgix.net/images/Juan-Soto-2018-Topps-Heritage-Rookie-502-Frame.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606318129', 'gallery': [], 'hidden': False}",Rookie #502,collectibles,Topps Rookie #502,Juan-Soto-2018-Topps-Heritage-Rookie-502,TP-JS2THR18,Juan Soto 2018 Topps Heritage Rookie #502,"[{'name': 'Year', 'value': '2018', 'filterable': False, 'visible': True, 'highlight': False}, {'name': 'Set Number', 'value': '#502', 'filterable': False, 'visible': True, 'highlight': False}]",juan-soto-2018-topps-heritage-rookie-502,0,"{'productId': 0, 'skuUuid': '', 'productUuid': 'ecd3ab00-8b97-4695-b309-9806124da827', 'lowestAsk': 70, 'lowestAskSize': 'PSA 9', 'parentLowestAsk': 0, 'numberOfAsks': 7, 'hasAsks': 1, 'salesThisPeriod': 0, 'salesLastPeriod': 0, 'highestBid': 61, 'highestBidSize': 'PSA 10', 'numberOfBids': 7, 'hasBids': 1, 'annualHigh': 130, 'annualLow': 24, 'deadstockRangeLow': 8, 'deadstockRangeHigh': 62, 'volatility': 0.769438, 'deadstockSold': 36, 'pricePremium': 0, 'averageDeadstockPrice': 65, 'lastSale': 35, 'lastSaleSize': 'PSA 9', 'salesLast72Hours': 0, 'changeValue': -30, 'changePercentage': -0.461538, 'absChangePercentage': 0.461538, 'totalDollars': 2350, 'lastLowestAskTime': 1604012052, 'lastHighestBidTime': 1607314152, 'lastSaleDate': '2020-11-26T03:40:08+00:00', 'createdAt': '2019-10-01T15:15:53+00:00', 'updatedAt': 1607600705, 'deadstockSoldRank': 46, 'pricePremiumRank': 18, 'averageDeadstockPriceRank': 89, 'featured': 1}","['collectibles', 'topps', 'trading cards', 'baseball', 'washington nationals']"
Topps,Trading Cards Baseball,Graded,US,product,,standard,"{'imageUrl': 'https://stockx.imgix.net/images/Aaron-Judge-2017-Topps-Rookie-Catching-287-Frame.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606322070', 'smallImageUrl': 'https://stockx.imgix.net/images/Aaron-Judge-2017-Topps-Rookie-Catching-287-Frame.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606322070', 'thumbUrl': 'https://stockx.imgix.net/images/Aaron-Judge-2017-Topps-Rookie-Catching-287-Frame.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606322070', 'gallery': [], 'hidden': False}",Rookie Catching #287,collectibles,Topps Rookie Catching #287,Aaron-Judge-2017-Topps-Rookie-Catching-287,TP-AJ2TRC17,Aaron Judge 2017 Topps Rookie Catching #287,"[{'name': 'Year', 'value': '2017', 'filterable': False, 'visible': True, 'highlight': False}, {'name': 'Set Number', 'value': '#287', 'filterable': False, 'visible': True, 'highlight': False}, {'name': 'Team', 'value': 'New York Yankees', 'filterable': True, 'visible': True, 'highlight': False}]",aaron-judge-2017-topps-rookie-catching-287,0,"{'productId': 0, 'skuUuid': '', 'productUuid': 'a91400ce-d424-4146-925c-8a83ed1bab86', 'lowestAsk': 90, 'lowestAskSize': 'BGS 9', 'parentLowestAsk': 0, 'numberOfAsks': 8, 'hasAsks': 1, 'salesThisPeriod': 0, 'salesLastPeriod': 0, 'highestBid': 105, 'highestBidSize': 'PSA 10', 'numberOfBids': 4, 'hasBids': 1, 'annualHigh': 245, 'annualLow': 30, 'deadstockRangeLow': 37, 'deadstockRangeHigh': 165, 'volatility': 0.631539, 'deadstockSold': 27, 'pricePremium': 0, 'averageDeadstockPrice': 124, 'lastSale': 101, 'lastSaleSize': 'PSA 10', 'salesLast72Hours': 0, 'changeValue': 71, 'changePercentage': 2.36667, 'absChangePercentage': 2.36667, 'totalDollars': 3336, 'lastLowestAskTime': 1606778975, 'lastHighestBidTime': 1607389836, 'lastSaleDate': '2020-11-30T17:57:01+00:00', 'createdAt': '2019-10-01T15:16:22+00:00', 'updatedAt': 1607601175, 'deadstockSoldRank': 57, 'pricePremiumRank': 73, 'averageDeadstockPriceRank': 84, 'featured': 1}","['collectibles', 'topps', 'trading cards', 'baseball', 'new york yankees', 'team|new york yankees']"
Topps,Trading Cards Baseball,Graded,US,product,,standard,"{'imageUrl': 'https://stockx.imgix.net/images/Aaron-Judge-2017-Topps-Chrome-Update-Rookie-HMT50-Frame.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606320706', 'smallImageUrl': 'https://stockx.imgix.net/images/Aaron-Judge-2017-Topps-Chrome-Update-Rookie-HMT50-Frame.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606320706', 'thumbUrl': 'https://stockx.imgix.net/images/Aaron-Judge-2017-Topps-Chrome-Update-Rookie-HMT50-Frame.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606320706', 'gallery': [], 'hidden': False}",Rookie #HMT50,collectibles,Topps Rookie #HMT50,Aaron-Judge-2017-Topps-Chrome-Update-Rookie-HMT50,TOP-AJ2017CUR50,Aaron Judge 2017 Topps Chrome Update Rookie #HMT50,"[{'name': 'Year', 'value': '2017', 'filterable': False, 'visible': True, 'highlight': False}, {'name': 'Set Number', 'value': '#HMT50', 'filterable': False, 'visible': True, 'highlight': False}, {'name': 'Team', 'value': 'New York Yankees', 'filterable': True, 'visible': True, 'highlight': False}]",aaron-judge-2017-topps-chrome-update-rookie-hmt50,0,"{'productId': 0, 'skuUuid': '', 'productUuid': '0e7ab87e-fa43-4638-b1b5-9bcc95532d5b', 'lowestAsk': 85, 'lowestAskSize': 'PSA 10', 'parentLowestAsk': 0, 'numberOfAsks': 5, 'hasAsks': 1, 'salesThisPeriod': 0, 'salesLastPeriod': 0, 'highestBid': 75, 'highestBidSize': 'PSA 10', 'numberOfBids': 3, 'hasBids': 1, 'annualHigh': 140, 'annualLow': 30, 'deadstockRangeLow': 119, 'deadstockRangeHigh': 141, 'volatility': 0.083646, 'deadstockSold': 22, 'pricePremium': 0, 'averageDeadstockPrice': 94, 'lastSale': 130, 'lastSaleSize': 'PSA 10', 'salesLast72Hours': 0, 'changeValue': 1, 'changePercentage': 0.007752, 'absChangePercentage': 0.007752, 'totalDollars': 2068, 'lastLowestAskTime': 1607032129, 'lastHighestBidTime': 1605050896, 'lastSaleDate': '2020-10-24T13:50:09+00:00', 'createdAt': '2019-10-01T15:16:22+00:00', 'updatedAt': 1607601213, 'deadstockSoldRank': 71, 'pricePremiumRank': 45, 'averageDeadstockPriceRank': 75, 'featured': 1}","['collectibles', 'topps', 'trading cards', 'baseball', 'new york yankees', 'team|new york yankees']"
Topps,Trading Cards Baseball,Graded,US,product,,standard,"{'imageUrl': 'https://stockx.imgix.net/images/Ronald-Acuna-Jr-2018-Topps-Heritage-Rookie-580-Frame.png?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606317532', 'smallImageUrl': 'https://stockx.imgix.net/images/Ronald-Acuna-Jr-2018-Topps-Heritage-Rookie-580-Frame.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606317532', 'thumbUrl': 'https://stockx.imgix.net/images/Ronald-Acuna-Jr-2018-Topps-Heritage-Rookie-580-Frame.png?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1606317532', 'gallery': [], 'hidden': False}",Rookie #580,collectibles,Topps Rookie #580,Ronald-Acuna-Jr-2018-Topps-Heritage-Rookie-580,TP-RAJ2THR18,Ronald Acuna Jr. 2018 Topps Heritage Rookie #580,"[{'name': 'Year', 'value': '2018', 'filterable': False, 'visible': True, 'highlight': False}, {'name': 'Set Number', 'value': '#580', 'filterable': False, 'visible': True, 'highlight': False}]",ronald-acuna-jr-2018-topps-heritage-rookie-580,0,"{'productId': 0, 'skuUuid': '', 'productUuid': '63ba447c-68c8-4ef3-9e23-17fe0d326234', 'lowestAsk': 40, 'lowestAskSize': 'PSA 10', 'parentLowestAsk': 0, 'numberOfAsks': 6, 'hasAsks': 1, 'salesThisPeriod': 0, 'salesLastPeriod': 0, 'highestBid': 35, 'highestBidSize': 'PSA 10', 'numberOfBids': 3, 'hasBids': 1, 'annualHigh': 94, 'annualLow': 34, 'deadstockRangeLow': 57, 'deadstockRangeHigh': 103, 'volatility': 0.292712, 'deadstockSold': 19, 'pricePremium': 0, 'averageDeadstockPrice': 63, 'lastSale': 80, 'lastSaleSize': 'PSA 10', 'salesLast72Hours': 0, 'changeValue': 15, 'changePercentage': 0.230769, 'absChangePercentage': 0.230769, 'totalDollars': 1194, 'lastLowestAskTime': 1605435378, 'lastHighestBidTime': 1607314791, 'lastSaleDate': '2020-12-04T17:00:25+00:00', 'createdAt': '2019-10-01T15:15:27+00:00', 'updatedAt': 1607582604, 'deadstockSoldRank': 33, 'pricePremiumRank': 30, 'averageDeadstockPriceRank': 2, 'featured': 1}","['collectibles', 'topps', 'trading cards', 'baseball', 'atlanta braves']"
